Medicine Name,Composition,Uses,Side_effects,Manufacturer
Avastin 400mg Injection,Bevacizumab (400mg),Cancer of colon and rectum Non-small cell lung cancer Kidney cancer,Rectal bleeding Taste change Headache Nosebleeds,Roche Products India Pvt Ltd
Augmentin 625 Duo Tablet,Amoxycillin (500mg) + Clavulanic Acid (125mg),Bacterial infections,Vomiting Nausea Diarrhea,Glaxo SmithKline Pharmaceuticals Ltd
Azithral 500 Tablet,Azithromycin (500mg),Bacterial infections,Nausea Abdominal pain Diarrhea,Alembic Pharmaceuticals Ltd
Ascoril LS Syrup,Ambroxol (30mg) + Levosalbutamol (1mg) + Guaifenesin (50mg),Cough with mucus,Nausea Vomiting Dizziness Headache,Glenmark Pharmaceuticals Ltd
Paracetamol 500mg,Paracetamol (500mg),Fever and mild to moderate pain relief,Nausea stomach pain (overdose can cause liver damage),Dolo / Crocin / Calpol
Ibuprofen,Ibuprofen (200mg/400mg),Pain inflammation and fever relief,Acidity stomach ulcers heartburn,Brufen / Combiflam
Amoxicillin,Amoxicillin (250mg/500mg),Bacterial infections (throat ear skin UTI),Diarrhea skin rash nausea,Mox / Novamox
Cetirizine,Cetirizine (10mg),Relief from allergic symptoms (runny nose itching),Drowsiness dry mouth fatigue,Okacet / Cetzine
Ranitidine,Ranitidine (150mg/300mg),Acidity heartburn and stomach ulcers,Headache dizziness constipation,Aciloc / Rantac
Pantoprazole,Pantoprazole (40m),GERD (acid reflux) and stomach ulcers,Headache diarrhea abdominal pain,Pan 40 / Pantocid
Metformin,Metformin (500mg),Type 2 Diabetes management,Nausea diarrhea metallic taste,Glycomet
Losartan,Losartan (25mg/50mg),High blood pressure and heart protection,Dizziness fatigue back pain,Covance / Losar
Diclofenac,Diclofenac (50mg),Pain and inflammation (arthritis back pain),Stomach pain acidity headache,Voveran / Reactin
Atorvastatin,Atorvastatin (10mg/20mg),High cholesterol and prevention of heart disease,Muscle pain diarrhea liver enzyme changes,Lipvas / Atorva
Ciprofloxacin,Ciprofloxacin (500mg),Bacterial infections (UTIs bone infections),Nausea diarrhea dizziness,Ciplox
Ondansetron,Ondansetron (4mg),Nausea and vomiting (post-surgery or chemo),Constipation headache fatigue,Emset / Zofran
Salbutamol,Salbutamol (2mg),Asthma and COPD (breathing trouble),Tremors palpitations nervousness,Asthalin
Montelukast,Montelukast (10mg),Asthma prevention and seasonal allergies,Headache abdominal pain sore throat,Singulair / Montek
Levocetirizine,Levocetirizine (5mg),Chronic allergies and hay fever,Drowsiness fatigue dry mouth,L-Cez / Levocet
Domperidone,Domperidone (10mg),Nausea vomiting and indigestion,Dry mouth headache anxiety,Domstal
Telmisartan,Telmisartan (40mg),High blood pressure management,Back pain sinus inflammation diarrhea,Telma
Glimepiride,Glimepiride (1mg/2mg),Type 2 Diabetes (lowering blood sugar),Low blood sugar (hypoglycemia) nausea,Amaryl / Glimy
Amlodipine,Amlodipine (5mg),High blood pressure and chest pain (angina),Swelling in ankles/feet dizziness,Amlokind / Stamlo
Esomeprazole,Esomeprazole (40mg),Acid reflux and peptic ulcers,Abdominal pain headache nausea,Nexpro
Cefixime,Cefixime (200mg),Typhoid fever and respiratory infections,Diarrhea stomach pain indigestion,Taxim-O / Zifi
Vomit stop,Ondansetron,Vomiting,Headache Constipation,Generic
Dolo 650,Paracetamol,Fever and body ache,Overdose risk to liver,Micro Labs Ltd
Crocin,Paracetamol,Fever,Stomach upset,GSK
Calpol,Paracetamol,Fever in children,Rare rash,GSK
Aciloc,Ranitidine,Stomach acid,Headache,Cadila
Pan 40,Pantoprazole,Gas and acid,Diarrhea,Alkem
Combiflam,Ibuprofen + Paracetamol,Body pain and fever,Acidity,Sanofi
Taxim O,Cefixime,Infection,Stomach pain,Alkem
Zifi,Cefixime,Bacterial infection,Diarrhea,FDC
Limcee,Vitamin C (Ascorbic Acid),Immunity and Vitamin C deficiency,Nausea,Abbott
Becosules,B-Complex + Vitamin C,Vitamin deficiency,Yellow urine,Pfizer
Sumo,Nimesulide + Paracetamol,Severe pain,Liver toxicity risk,Alkem
Nice,Nimesulide,Pain and inflammation,Dizziness,Dr. Reddy's
Wikoryl,Phenylephrine + CPM + Paracetamol,Common cold and flu,Drowsiness,Alembic
Solvin De,Dextromethorphan + Chlorpheniramine,Dry cough,Sleepiness,Ipca
Amoxyclav,Amoxycillin + Clavulanic Acid,Strong bacterial infection,Loose motions,Abbott
Montek LC,Montelukast + Levocetirizine,Allergy and Asthma,Sleepiness,Sun Pharma
Liv 52,Herbal (Himsra + Kasani),Liver protection and appetite,None known,Himalaya
Cystone,Herbal (Pasanabheda + Shilapushpa),Kidney stones and UTI,None known,Himalaya
Septilin,Herbal (Guggulu + Maharasnadi),Immunity booster,None known,Himalaya
Confido,Herbal (Vriddadaru + Kapikachhu),Men's health,None known,Himalaya
Pilex,Herbal (Guggulu + Neem),Hemorrhoids (Piles),None known,Himalaya
Gasex,Herbal (Sunthi + Triphala),Gas and bloating,None known,Himalaya
